"","Group.1","Group.2","x"
"1",1011,"ALAMANCE",0.0410918822036026
"2",1112,"ALAMANCE",0.0247958935886123
"3",1213,"ALAMANCE",0.040891034139976
"4",1314,"ALAMANCE",0.0179074903479755
"5",1415,"ALAMANCE",0.0111043413548439
"6",1516,"ALAMANCE",0.0289129895469424
"7",1617,"ALAMANCE",0.015513436692632
"8",1718,"ALAMANCE",0.0400976632715595
"9",1920,"ALAMANCE",0.0197697161226759
"10",2021,"ALAMANCE",0.00525808148002743
"11",2122,"ALAMANCE",0.018799451511691
"12",1011,"ALEXANDER",0.00953512718218601
"13",1112,"ALEXANDER",0.00298271851113327
"14",1213,"ALEXANDER",0
"15",1314,"ALEXANDER",0.0283771870718505
"16",1415,"ALEXANDER",0.00065354713313897
"17",1516,"ALEXANDER",0.00790502714715728
"18",1617,"ALEXANDER",0.0183240201671494
"19",1718,"ALEXANDER",0.00296924708377519
"20",1920,"ALEXANDER",0.00710513078470825
"21",2021,"ALEXANDER",0
"22",2122,"ALEXANDER",0.0122404569770605
"23",1011,"ALLEGHANY",0.112422360248447
"24",1112,"ALLEGHANY",0.0307017543859649
"25",1213,"ALLEGHANY",0.0392464678178964
"26",1314,"ALLEGHANY",0
"27",1415,"ALLEGHANY",0.0643115942028985
"28",1516,"ALLEGHANY",0.06875
"29",1617,"ALLEGHANY",0.00701754385964912
"30",1718,"ALLEGHANY",0.07
"31",1920,"ALLEGHANY",0
"32",2021,"ALLEGHANY",0
"33",2122,"ALLEGHANY",0.0464876033057851
"34",1011,"ANSON",0.0188897835033101
"35",1112,"ANSON",0.00887615673799884
"36",1213,"ANSON",0.0155604692242623
"37",1314,"ANSON",0.00374255903962418
"38",1415,"ANSON",0.00231626610936956
"39",1516,"ANSON",0.0078959628220712
"40",1617,"ANSON",0.000515453859562401
"41",1718,"ANSON",0.00284700588438906
"42",1920,"ANSON",0.00489960391052499
"43",2021,"ANSON",0
"44",2122,"ANSON",0.0830559329710145
"45",1011,"ASHE",0.0551470588235294
"46",1112,"ASHE",0.024530105129022
"47",1213,"ASHE",0.00974107591754651
"48",1314,"ASHE",0.0224299065420561
"49",1415,"ASHE",0.0729495614035088
"50",1516,"ASHE",0
"51",1617,"ASHE",0.00267094017094017
"52",1718,"ASHE",0.0551937984496124
"53",1920,"ASHE",0.0307621671258035
"54",2021,"ASHE",0
"55",2122,"ASHE",0.072665429808287
"56",1011,"AVERY",0.0205936920222635
"57",1112,"AVERY",0.0283475783475783
"58",1213,"AVERY",0
"59",1314,"AVERY",0.0474329501915709
"60",1415,"AVERY",0.0229577207798978
"61",1516,"AVERY",0.0801215277777778
"62",1617,"AVERY",0.00362103174603175
"63",1718,"AVERY",0.0369614952948286
"64",1920,"AVERY",0.16554790365344
"65",2021,"AVERY",0.0456149193548387
"66",2122,"AVERY",0.0330132922967126
"67",1011,"BEAUFORT",0.0118960499710825
"68",1112,"BEAUFORT",0.022072169042093
"69",1213,"BEAUFORT",0.0434760948161012
"70",1314,"BEAUFORT",0.0397684341775602
"71",1415,"BEAUFORT",0.0393190878501938
"72",1516,"BEAUFORT",0.039770569479616
"73",1617,"BEAUFORT",0.00533999890278692
"74",1718,"BEAUFORT",0.00922775640242414
"75",1920,"BEAUFORT",0.0207370043435617
"76",2021,"BEAUFORT",0.0236211071127105
"77",2122,"BEAUFORT",0.0389670186160021
