"","Group.1","Group.2","x"
"1",1011,"ALAMANCE",0.0459113453106303
"2",1112,"ALAMANCE",0.0310767541955783
"3",1213,"ALAMANCE",0.0433952836366753
"4",1314,"ALAMANCE",0.0235907375979552
"5",1415,"ALAMANCE",0.0166263047193232
"6",1516,"ALAMANCE",0.0299285083983449
"7",1617,"ALAMANCE",0.0189391397195888
"8",1718,"ALAMANCE",0.0464237701279521
"9",1920,"ALAMANCE",0.0197909191811871
"10",2021,"ALAMANCE",0.00808919392945437
"11",2122,"ALAMANCE",0.0249231641226917
"12",1011,"ALEXANDER",0.00952470302315504
"13",1112,"ALEXANDER",0.00596271295403407
"14",1213,"ALEXANDER",0
"15",1314,"ALEXANDER",0.0283745984269414
"16",1415,"ALEXANDER",0.000874255952380952
"17",1516,"ALEXANDER",0.0281398732582959
"18",1617,"ALEXANDER",0.0182202654926289
"19",1718,"ALEXANDER",0.0066571854259786
"20",1920,"ALEXANDER",0.0131965392767494
"21",2021,"ALEXANDER",0
"22",2122,"ALEXANDER",0.012870128701287
"23",1011,"ALLEGHANY",0.114130434782609
"24",1112,"ALLEGHANY",0.0318979266347687
"25",1213,"ALLEGHANY",0.0392156862745098
"26",1314,"ALLEGHANY",0
"27",1415,"ALLEGHANY",0.0643115942028985
"28",1516,"ALLEGHANY",0.06875
"29",1617,"ALLEGHANY",0.00701754385964912
"30",1718,"ALLEGHANY",0.07
"31",1920,"ALLEGHANY",0.00211640211640212
"32",2021,"ALLEGHANY",0
"33",2122,"ALLEGHANY",0.0464876033057851
"34",1011,"ANSON",0.0230313443311932
"35",1112,"ANSON",0.0099590161365183
"36",1213,"ANSON",0.0189568718730822
"37",1314,"ANSON",0.00699435699435699
"38",1415,"ANSON",0.00326177012779884
"39",1516,"ANSON",0.00785730785730786
"40",1617,"ANSON",0.000465184733530621
"41",1718,"ANSON",0.0103072853072853
"42",1920,"ANSON",0.0353841508732813
"43",2021,"ANSON",0
"44",2122,"ANSON",0.0909308862433862
"45",1011,"ASHE",0.0551470588235294
"46",1112,"ASHE",0.024530105129022
"47",1213,"ASHE",0.00974107591754651
"48",1314,"ASHE",0.0266794472401949
"49",1415,"ASHE",0.0729166666666667
"50",1516,"ASHE",0
"51",1617,"ASHE",0.00267094017094017
"52",1718,"ASHE",0.0551937984496124
"53",1920,"ASHE",0.0307621671258035
"54",2021,"ASHE",0.0252941176470588
"55",2122,"ASHE",0.072665429808287
"56",1011,"AVERY",0.0205688574642455
"57",1112,"AVERY",0.0284900284900285
"58",1213,"AVERY",0
"59",1314,"AVERY",0.0568326947637292
"60",1415,"AVERY",0.0234269106453967
"61",1516,"AVERY",0.0802617521367521
"62",1617,"AVERY",0.00360750360750361
"63",1718,"AVERY",0.0481060606060606
"64",1920,"AVERY",0.165851521604117
"65",2021,"AVERY",0.0461017740429505
"66",2122,"AVERY",0.0541586073500967
"67",1011,"BEAUFORT",0.0158727982336463
"68",1112,"BEAUFORT",0.069317851341489
"69",1213,"BEAUFORT",0.064295111907109
"70",1314,"BEAUFORT",0.0515446152395143
"71",1415,"BEAUFORT",0.08026164931705
"72",1516,"BEAUFORT",0.0489664260929687
"73",1617,"BEAUFORT",0.00533972581324851
"74",1718,"BEAUFORT",0.0186192037463017
"75",1920,"BEAUFORT",0.0207420723261147
"76",2021,"BEAUFORT",0.0318392080165253
"77",2122,"BEAUFORT",0.0431415014052171
"78",1011,"BERTIE",0
"79",1112,"BERTIE",0
"80",1213,"BERTIE",0
"81",1314,"BERTIE",0
"82",1415,"BERTIE",0.0307239057239057
"83",1516,"BERTIE",0.0629770992366412
"84",1617,"BERTIE",0.00453323807579778
"85",1718,"BERTIE",0.0220530773574252
"86",1920,"BERTIE",0.0375800471857095
"87",2021,"BERTIE",0
"88",2122,"BERTIE",0.0441327843540916
"89",1011,"BLADEN",0
"90",1112,"BLADEN",0.00950903159067399
"91",1213,"BLADEN",0.0513606554014409
"92",1314,"BLADEN",0.0175975227521619
"93",1415,"BLADEN",0.0121889755424691
"94",1516,"BLADEN",0.0242819981950417
"95",1617,"BLADEN",0.0453354497354497
"96",1718,"BLADEN",0.0602645667831004
"97",1920,"BLADEN",0.00575880758807588
"98",2021,"BLADEN",0.0607791732715523
"99",2122,"BLADEN",0.0740516545601291
"100",1011,"BRUNSWICK",0.00253773984867403
"101",1112,"BRUNSWICK",0.0273755387486881
"102",1213,"BRUNSWICK",0.0218456657984984
"103",1314,"BRUNSWICK",0.0208855626598565
"104",1415,"BRUNSWICK",0.0421626555123563
"105",1516,"BRUNSWICK",0.00807596532599685
"106",1617,"BRUNSWICK",0.0483662882856441
"107",1718,"BRUNSWICK",0.0365990157320503
"108",1920,"BRUNSWICK",0.055218637904564
"109",2021,"BRUNSWICK",0.0449119862231267
"110",2122,"BRUNSWICK",0.0705386706608271
"111",1011,"BUNCOMBE",0.0700546146227305
"112",1112,"BUNCOMBE",0.0667908757167891
"113",1213,"BUNCOMBE",0.0667565164732496
"114",1314,"BUNCOMBE",0.0364329136994072
"115",1415,"BUNCOMBE",0.0435934985517227
"116",1516,"BUNCOMBE",0.0244940300808934
"117",1617,"BUNCOMBE",0.0298486658442032
"118",1718,"BUNCOMBE",0.039784545759043
"119",1920,"BUNCOMBE",0.0394543925584024
"120",2021,"BUNCOMBE",0.0128796688603895
"121",2122,"BUNCOMBE",0.0726056651538049
"122",1011,"BURKE",0.011607709207289
"123",1112,"BURKE",0.0362271744038698
"124",1213,"BURKE",0.0891711009820624
"125",1314,"BURKE",0.0476298109555574
"126",1415,"BURKE",0.0549282879781584
"127",1516,"BURKE",0.0329693639516702
"128",1617,"BURKE",0.0171871307495422
"129",1718,"BURKE",0.0468173539423539
"130",1920,"BURKE",0.00660498658318426
"131",2021,"BURKE",0.00909193495197858
"132",2122,"BURKE",0.0258416690915773
"133",1011,"CABARRUS",0.0230089564046691
"134",1112,"CABARRUS",0.00988975834490892
"135",1213,"CABARRUS",0.053201962647254
"136",1314,"CABARRUS",0.0157421581266638
"137",1415,"CABARRUS",0.0322634107403378
"138",1516,"CABARRUS",0.0164202145676659
"139",1617,"CABARRUS",0.0172443110128048
"140",1718,"CABARRUS",0.0268077775555932
"141",1920,"CABARRUS",0.0214375308863349
"142",2021,"CABARRUS",0.00398332478377817
"143",2122,"CABARRUS",0.0140381284566889
"144",1011,"CALDWELL",0.0337864974531641
"145",1112,"CALDWELL",0.0336893680030935
"146",1213,"CALDWELL",0.034654092271635
"147",1314,"CALDWELL",0.0410978464971205
"148",1415,"CALDWELL",0.00640139450919926
"149",1516,"CALDWELL",0.017495014846026
"150",1617,"CALDWELL",0.048290156917815
"151",1718,"CALDWELL",0.0350783282052385
"152",1920,"CALDWELL",0.0205918732883616
"153",2021,"CALDWELL",0.0216503505099724
"154",2122,"CALDWELL",0.0240211239799947
"155",1011,"CAMDEN",0
"156",1112,"CAMDEN",0
"157",1213,"CAMDEN",0.00970677451971689
"158",1314,"CAMDEN",0
"159",1415,"CAMDEN",0.0417529330572809
"160",1516,"CAMDEN",0.0494949494949495
"161",1617,"CAMDEN",0.0488721804511278
"162",1718,"CAMDEN",0.0254515599343186
"163",1920,"CAMDEN",0
"164",2021,"CAMDEN",0.0657894736842105
"165",2122,"CAMDEN",0
"166",1011,"CARTERET",0.0592088833776813
"167",1112,"CARTERET",0.0517365578516051
"168",1213,"CARTERET",0.0315513677138339
"169",1314,"CARTERET",0.0129276491892483
"170",1415,"CARTERET",0.0477132630192117
"171",1516,"CARTERET",0.0400233575392924
"172",1617,"CARTERET",0.0259917456686924
"173",1718,"CARTERET",0.0319550780497392
"174",1920,"CARTERET",0.00806426119942196
"175",2021,"CARTERET",0.038402440712013
"176",2122,"CARTERET",0.0241988111391096
"177",1011,"CASWELL",0.0705201901923213
"178",1112,"CASWELL",0.0552604229244263
"179",1213,"CASWELL",0.0983281444582814
"180",1314,"CASWELL",0.0239676173499703
"181",1415,"CASWELL",0.0463483281939658
"182",1516,"CASWELL",0.0849837948950767
"183",1617,"CASWELL",0.0421436352170008
"184",1718,"CASWELL",0.0340740740740741
"185",1920,"CASWELL",0.00138927479855515
"186",2021,"CASWELL",0.036332736208718
"187",2122,"CASWELL",0.123198835063242
"188",1011,"CATAWBA",0.0796714347167496
"189",1112,"CATAWBA",0.0462259579918234
"190",1213,"CATAWBA",0.0437660880668135
"191",1314,"CATAWBA",0.0456856151305601
"192",1415,"CATAWBA",0.0709954571521767
"193",1516,"CATAWBA",0.071545623986927
"194",1617,"CATAWBA",0.0772958593309941
"195",1718,"CATAWBA",0.0459881819056998
"196",1920,"CATAWBA",0.024591096050124
"197",2021,"CATAWBA",0.0429740701540769
"198",2122,"CATAWBA",0.0346470648314342
"199",1011,"CHATHAM",0.016088716519751
"200",1112,"CHATHAM",0.040668911335578
"201",1213,"CHATHAM",0.0224095394736842
"202",1314,"CHATHAM",0.00596751479930926
"203",1415,"CHATHAM",0.0493042266627426
"204",1516,"CHATHAM",0.0360695187165775
"205",1617,"CHATHAM",0
"206",1718,"CHATHAM",0.029709992644741
"207",1920,"CHATHAM",0.0115332164426261
"208",2021,"CHATHAM",0.0130474176985805
"209",2122,"CHATHAM",0.0396112988894254
"210",1011,"CHEROKEE",0.0395397828552909
"211",1112,"CHEROKEE",0.0597755331088664
"212",1213,"CHEROKEE",0.0528593279500778
"213",1314,"CHEROKEE",0.019280337496898
"214",1415,"CHEROKEE",0.112064825930372
"215",1516,"CHEROKEE",0.0593918726911054
"216",1617,"CHEROKEE",0.0652499481141865
"217",1718,"CHEROKEE",0.131923365719853
"218",1920,"CHEROKEE",0.0600688968073161
"219",2021,"CHEROKEE",0.0521370164227307
"220",2122,"CHEROKEE",0.0222660530352838
"221",1011,"CHOWAN",0.00601795185638515
"222",1112,"CHOWAN",0.0118581625604421
"223",1213,"CHOWAN",0
"224",1314,"CHOWAN",0
